eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
55,21,53,1149119,148606,31348,13182,149948,16754041,9064,4844,Tag3
42,24,60,1355398,29789,20302,8500,8432,6053,1468,482,Tag3
12,27,57,16748971,3594,3941,8310,6174,2169,3682,1077,Tag3
-330,48,51,15747,11276,887,1214,2803,3750,2124,1897,Tag3
37,54,75,21745,4434,26405,7295,2517,3091,2785,1183,Tag3
36,43,56,1114654,35072,8157,4781,7287,2921,838,1081,Tag3
21,29,50,755035,270271,82426,3721,13434,6061,1804,1535,Tag3
-263,29,50,755035,270271,82426,3721,13434,6061,1804,1535,Tag3
23,35,37,7601,6787,2767,6394,2916,2306,2174,1224,Tag3
22,34,74,8142,9494,5029,3989,2903,2460,1992,691,Tag3
41,53,70,1763,8100,1397,2698,5434,2509,1595,1366,Tag3
44,64,63,1462,3501,2203,1422,3979,4883,2119,1497,Tag3
45,64,63,1462,3501,2203,1422,3979,4883,2119,1497,Tag3
41,70,53,11044,9644,1933,8194,1004,1894,2680,2145,Tag3
23,69,56,10361,21003,4916,5556,4208,4659,3182,3089,Tag3
8,51,69,28724,5817,13646,2061,6126,1264,2403,610,Tag3
41,41,61,31082,23014,4766,1446,1570,2074,2984,1111,Tag3
36,48,60,6866,9777,3529,7615,1956,4171,2170,1154,Tag3
35,48,64,7006,12891,6469,4631,2933,3328,1431,993,Tag3
51,54,64,2480,2576,4990,4024,4637,1501,1410,946,Tag3
-260,61,80,3375,6603,4483,8330,1819,3592,1854,2017,Tag3
20,66,80,9192,2988,6193,2987,7134,4192,3951,1135,Tag3
41,69,84,782,3102,4160,4217,3230,2933,3815,784,Tag3
41,77,74,5901,6634,805,5996,6403,4791,886,1217,Tag3
33,80,70,4873,5900,7537,2936,1728,3819,2108,2106,Tag3
56,77,69,19060,7604,5756,3825,4354,4844,1269,1910,Tag3
58,75,67,7566,3927,3243,3367,2528,1894,4284,1297,Tag3
99,77,67,5943,5986,1863,3763,2510,5544,1356,2382,Tag3
23,75,61,7045,13919,630,11268,5892,4285,1152,1052,Tag3
38,75,56,6696,8093,2248,3057,4007,3720,1772,1616,Tag3
10,78,51,1717,7322,2173,4347,3011,3960,2304,1924,Tag3
66,67,51,10437,14229,2618,6635,6034,2976,966,753,Tag3
8,81,47,10982,4241,536,4207,2674,8251,1558,1030,Tag3
41,80,53,6468,8713,5247,5178,4813,3976,2136,1019,Tag3
55,66,70,4181,4560,23925,11822,2680,1755,863,1926,Tag3
12,67,83,6274,5690,10868,6962,2945,3583,2467,663,Tag3
24,53,91,15097,7017,7245,6635,6335,3085,1361,942,Tag3
-277,48,96,8792,6974,4474,8155,2794,2325,1489,1222,Tag3
28,54,80,6436,7062,6111,2679,4690,2113,1533,2793,Tag3
273,43,69,268639,30101,16928,3405,3085,1804,1978,1378,Tag3
39,35,56,446266,92334,11300,8269,4570,5393,2545,3664,Tag3
44,48,50,3426,4990,1943,4748,3283,7331,1174,1127,Tag3
13,48,50,12067,13961,13423,4628,6453,3979,1194,656,Tag3
26,60,54,12221,7762,9058,2352,2908,3191,1706,1301,Tag3
121,57,70,451271,23695,16753344,4081,12254,2514,2900,3050,Tag3
-797,57,70,283604,14070,4424,382,759,170,16777130,55,Tag3
39,37,57,348432,10090,137,813,1047,232,876,16777123,Tag3
96,30,50,16761276,3560,229,753,562,148,330,35,Tag3
100,21,48,865574,16757264,14959,25668,3898,4244,5554,3182,Tag3
-289,29,48,22409,20350,27106,18304,12140,6083,9435,3532,Tag3
32,26,40,700164,77563,220,1692,5037,2159,3026,451,Tag3
-459,26,48,337228,30960,18037,7768,6794,3925,868,1038,Tag3
-275,29,43,693618,26343,9371,3053,3104,3300,638,749,Tag3
-104,23,26,1395629,501568,16762077,16749227,11893,25821,20888,8013,Tag3
64,35,41,735296,135024,7461,20804,18688,17163,10258,1934,Tag3
-162,37,37,590941,140009,26993,30577,11806,16542,10285,6968,Tag3
53,21,23,254246,312856,22524,5572,4245,6318,7378,649,Tag3
35,34,41,3119,5907,8123,4969,3145,3000,3312,547,Tag3
81,35,50,8160,24564,4276,13346,2670,6000,1769,2147,Tag3
